property,alt_property,label,onnx,result,time,details
prop_0_0.03.vnnlib,prop_0_0.03_alt.vnnlib,4,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext4.onnx,unsat,6.118202447891235,
prop_0_0.05.vnnlib,prop_0_0.05_alt.vnnlib,4,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext4.onnx,unsat,5.939876079559326,
prop_10_0.03.vnnlib,prop_10_0.03_alt.vnnlib,4,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext4.onnx,unsat,4.55719256401062,
prop_10_0.05.vnnlib,prop_10_0.05_alt.vnnlib,4,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext4.onnx,unsat,5.7279675006866455,
prop_11_0.03.vnnlib,prop_11_0.03_alt.vnnlib,0,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext0.onnx,unsat,5.267312049865723,
prop_11_0.05.vnnlib,prop_11_0.05_alt.vnnlib,0,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext0.onnx,unsat,5.216493844985962,
prop_12_0.03.vnnlib,prop_12_0.03_alt.vnnlib,9,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext9.onnx,unsat,8.546393632888794,
prop_12_0.05.vnnlib,prop_12_0.05_alt.vnnlib,9,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext9.onnx,unsat,5.151791095733643,
prop_13_0.03.vnnlib,prop_13_0.03_alt.vnnlib,8,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext8.onnx,unsat,3.783475399017334,
prop_13_0.05.vnnlib,prop_13_0.05_alt.vnnlib,8,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext8.onnx,unsat,4.4803667068481445,
prop_14_0.03.vnnlib,prop_14_0.03_alt.vnnlib,6,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext6.onnx,unsat,5.622090101242065,
prop_14_0.05.vnnlib,prop_14_0.05_alt.vnnlib,6,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext6.onnx,unsat,5.615996599197388,
prop_1_0.03.vnnlib,prop_1_0.03_alt.vnnlib,7,/mnt/c/Users/apurv/OneDrive/Desktop/Aryaman/IITB/RnD_Spr2026/NN-Verification/vnncomp2022_benchmarks/benchmarks/mnist_fc/onnx/mnist-net_256x2_ext7.onnx,unsat,6.733278512954712,
