property,result,time
prop_0_0.03_alt.vnnlib,unsat,2.5139214992523193
prop_0_0.05_alt.vnnlib,timeout,257.2766079902649
prop_10_0.03_alt.vnnlib,unsat,1.5904006958007812
prop_10_0.05_alt.vnnlib,unsat,27.7150821685791
prop_11_0.03_alt.vnnlib,unsat,1.4261691570281982
prop_11_0.05_alt.vnnlib,unsat,1.596527338027954
prop_12_0.03_alt.vnnlib,unsat,1.5730013847351074
prop_12_0.05_alt.vnnlib,timeout,165.78528499603271
prop_13_0.03_alt.vnnlib,unsat,1.5517094135284424
prop_13_0.05_alt.vnnlib,timeout,137.5698001384735
prop_14_0.03_alt.vnnlib,unsat,2.207634687423706
prop_14_0.05_alt.vnnlib,timeout,167.22121906280518
prop_1_0.03_alt.vnnlib,timeout,75.32628846168518
prop_1_0.05_alt.vnnlib,timeout,149.65636587142944
prop_2_0.03_alt.vnnlib,unsat,1.5675530433654785
prop_2_0.05_alt.vnnlib,timeout,62.15274357795715
prop_3_0.03_alt.vnnlib,unsat,1.628175973892212
prop_3_0.05_alt.vnnlib,unsat,1.7197675704956055
prop_4_0.03_alt.vnnlib,unsat,1.572819709777832
prop_4_0.05_alt.vnnlib,timeout,215.03568077087402
prop_5_0.03_alt.vnnlib,unsat,1.7511258125305176
prop_5_0.05_alt.vnnlib,timeout,116.04251742362976
prop_6_0.03_alt.vnnlib,timeout,164.9405767917633
prop_6_0.05_alt.vnnlib,timeout,76.40538382530212
prop_7_0.03_alt.vnnlib,unsat,1.6263880729675293
prop_7_0.05_alt.vnnlib,timeout,68.08826541900635
prop_8_0.03_alt.vnnlib,unsat,1.6373438835144043
prop_8_0.05_alt.vnnlib,timeout,108.68150305747986
prop_9_0.03_alt.vnnlib,unsat,1.721956729888916
prop_9_0.05_alt.vnnlib,timeout,174.14676904678345
