property,result,time
prop_0_0.03_alt.vnnlib,unsat,4.7156476974487305
prop_0_0.05_alt.vnnlib,timeout,315.8341724872589
prop_10_0.03_alt.vnnlib,unsat,6.28868842124939
prop_10_0.05_alt.vnnlib,timeout,312.11725759506226
prop_11_0.03_alt.vnnlib,unsat,6.376481294631958
prop_11_0.05_alt.vnnlib,timeout,319.54735350608826
prop_12_0.03_alt.vnnlib,unsat,45.19097566604614
prop_12_0.05_alt.vnnlib,timeout,321.46597123146057
prop_13_0.03_alt.vnnlib,unsat,5.830110311508179
prop_13_0.05_alt.vnnlib,timeout,306.90807819366455
prop_14_0.03_alt.vnnlib,unsat,5.7565155029296875
prop_14_0.05_alt.vnnlib,timeout,309.74146604537964
prop_1_0.03_alt.vnnlib,timeout,303.39968705177307
prop_1_0.05_alt.vnnlib,timeout,301.2149007320404
prop_2_0.03_alt.vnnlib,unsat,7.5180134773254395
prop_2_0.05_alt.vnnlib,timeout,303.3164405822754
prop_3_0.03_alt.vnnlib,unsat,5.757217884063721
prop_3_0.05_alt.vnnlib,timeout,314.61430859565735
prop_4_0.03_alt.vnnlib,unsat,5.46726393699646
prop_4_0.05_alt.vnnlib,timeout,314.23281168937683
prop_5_0.03_alt.vnnlib,unsat,7.303686857223511
prop_5_0.05_alt.vnnlib,timeout,305.080598115921
prop_6_0.03_alt.vnnlib,sat,2.178025960922241
prop_6_0.05_alt.vnnlib,sat,1.6639196872711182
prop_7_0.03_alt.vnnlib,timeout,313.72296833992004
prop_7_0.05_alt.vnnlib,timeout,316.544296503067
prop_8_0.03_alt.vnnlib,unsat,5.321310043334961
prop_8_0.05_alt.vnnlib,timeout,317.03016209602356
prop_9_0.03_alt.vnnlib,timeout,316.76027846336365
prop_9_0.05_alt.vnnlib,timeout,305.18930554389954
