property,result,time
prop_0_0.03.vnnlib,unsat,3.126643180847168
prop_0_0.05.vnnlib,timeout,
prop_10_0.03.vnnlib,unsat,2.4204320907592773
prop_10_0.05.vnnlib,timeout,
prop_11_0.03.vnnlib,unsat,2.7683448791503906
prop_11_0.05.vnnlib,unsat,7.76710319519043
prop_12_0.03.vnnlib,sat,1.4016544818878174
prop_12_0.05.vnnlib,sat,1.4423444271087646
prop_13_0.03.vnnlib,unsat,2.686203718185425
prop_13_0.05.vnnlib,unsat,4.497696161270142
prop_14_0.03.vnnlib,unsat,2.589385986328125
prop_14_0.05.vnnlib,unsat,6.948593616485596
prop_1_0.03.vnnlib,sat,1.4863622188568115
prop_1_0.05.vnnlib,sat,1.4719815254211426
prop_2_0.03.vnnlib,timeout,32.4396071434021
prop_2_0.05.vnnlib,sat,2.492713451385498
prop_3_0.03.vnnlib,unsat,2.424957513809204
prop_3_0.05.vnnlib,unsat,3.6153783798217773
prop_4_0.03.vnnlib,unsat,3.728686809539795
prop_4_0.05.vnnlib,sat,1.4556386470794678
prop_5_0.03.vnnlib,unsat,2.672700881958008
prop_5_0.05.vnnlib,sat,1.39768385887146
prop_6_0.03.vnnlib,timeout,
prop_6_0.05.vnnlib,sat,1.4442763328552246
prop_7_0.03.vnnlib,unsat,2.809758186340332
prop_7_0.05.vnnlib,unsat,6.1907713413238525
prop_8_0.03.vnnlib,unsat,6.054953575134277
prop_8_0.05.vnnlib,sat,1.6440095901489258
prop_9_0.03.vnnlib,unsat,3.319641590118408
prop_9_0.05.vnnlib,unsat,8.402081489562988
