property,result,time
prop_0_0.03_alt.vnnlib,unsat,4.466186046600342
prop_0_0.05_alt.vnnlib,timeout,309.41783595085144
prop_10_0.03_alt.vnnlib,unsat,3.835723400115967
prop_10_0.05_alt.vnnlib,timeout,307.5900573730469
prop_11_0.03_alt.vnnlib,unsat,4.499883651733398
prop_11_0.05_alt.vnnlib,unsat,264.5828604698181
prop_12_0.03_alt.vnnlib,unsat,3.9444010257720947
prop_12_0.05_alt.vnnlib,timeout,304.28343057632446
prop_13_0.03_alt.vnnlib,unsat,3.7702202796936035
prop_13_0.05_alt.vnnlib,timeout,317.1992197036743
prop_14_0.03_alt.vnnlib,unsat,4.81681752204895
prop_14_0.05_alt.vnnlib,timeout,306.4811677932739
prop_1_0.03_alt.vnnlib,sat,1.9516255855560303
prop_1_0.05_alt.vnnlib,sat,1.7542870044708252
prop_2_0.03_alt.vnnlib,unsat,9.820665121078491
prop_2_0.05_alt.vnnlib,timeout,310.0637159347534
prop_3_0.03_alt.vnnlib,unsat,5.235130548477173
prop_3_0.05_alt.vnnlib,unsat,182.20409607887268
prop_4_0.03_alt.vnnlib,unsat,6.16692328453064
prop_4_0.05_alt.vnnlib,timeout,310.79619216918945
prop_5_0.03_alt.vnnlib,unsat,5.289021968841553
prop_5_0.05_alt.vnnlib,timeout,307.6829915046692
prop_6_0.03_alt.vnnlib,timeout,308.8869059085846
prop_6_0.05_alt.vnnlib,sat,2.2535269260406494
prop_7_0.03_alt.vnnlib,unsat,5.364666223526001
prop_7_0.05_alt.vnnlib,timeout,302.5892870426178
prop_8_0.03_alt.vnnlib,unsat,224.26668787002563
prop_8_0.05_alt.vnnlib,sat,1.544278621673584
prop_9_0.03_alt.vnnlib,unsat,7.003944396972656
prop_9_0.05_alt.vnnlib,timeout,317.724511384964
