property,result,time
prop_0_0.03.vnnlib,unsat,2.8147356510162354
prop_0_0.05.vnnlib,timeout,
prop_10_0.03.vnnlib,unsat,3.3902533054351807
prop_10_0.05.vnnlib,timeout,
prop_11_0.03.vnnlib,unsat,3.249265193939209
prop_11_0.05.vnnlib,timeout,
prop_12_0.03.vnnlib,unsat,3.336498498916626
prop_12_0.05.vnnlib,timeout,
prop_13_0.03.vnnlib,unsat,2.7979273796081543
prop_13_0.05.vnnlib,timeout,
prop_14_0.03.vnnlib,unsat,3.0044476985931396
prop_14_0.05.vnnlib,timeout,
prop_1_0.03.vnnlib,sat,1.515821933746338
prop_1_0.05.vnnlib,sat,1.5266401767730713
prop_2_0.03.vnnlib,unsat,3.6936497688293457
prop_2_0.05.vnnlib,timeout,311.2600107192993
prop_3_0.03.vnnlib,unsat,4.101392507553101
prop_3_0.05.vnnlib,timeout,
prop_4_0.03.vnnlib,unsat,2.8330576419830322
prop_4_0.05.vnnlib,timeout,
prop_5_0.03.vnnlib,unsat,2.7498178482055664
prop_5_0.05.vnnlib,timeout,
prop_6_0.03.vnnlib,timeout,
prop_6_0.05.vnnlib,sat,1.4382152557373047
prop_7_0.03.vnnlib,unsat,2.7404794692993164
prop_7_0.05.vnnlib,timeout,
prop_8_0.03.vnnlib,timeout,
prop_8_0.05.vnnlib,sat,1.3813819885253906
prop_9_0.03.vnnlib,unsat,2.853025197982788
prop_9_0.05.vnnlib,timeout,302.0984888076782
